resource,copyright_g,licence_g,terms_g
1635268063-587,true true,false false,false true
1635268063-601248,false,false,false
1635268063-601321,true true true,true true false,true true true
1635268063-579336,false true true,false true true,false false false
1641121064-367263,false false false,false false false,false false false
1638981345-1141422,true true false,false false false,true true false
1635268063-600037,true,false,true
1645711057-8155167,true true,false true,true true
1635268063-592912,false true false,false false false,false true false
1635268063-58143,true true true,false false false,true true true
1635268063-584176,true,false,true
1664527234-1931784,true true false,false false false,true true false
1635268063-592762,false true false,false false false,false true false
1635268063-589243,true true true,false false false,false true true
1635268063-580828,false false false,false false false,false false false
1639467056-9320772,false,false,false
1635268063-590502,false,false,false
1635268063-591857,true,true,false
1635268063-580315,false true true,false true false,false false false
1639037220-3709588,true true false,false false false,false false false
1639160794-6585488,true true true,false false false,true true true
1635268063-58513,true true true,false false false,true true true
1635268063-593896,true true true,true true false,true true true
1635268063-596305,false false false true false false false false false,false false false true false false false false true,false false false false false false false false false
1635268063-600266,true,true,false
1641117441-7679298,true true true,false false false,true true true
1635268063-600864,true true true,false true false,true true true
1635268063-587671,false true true,false true true,false false false
1635268063-58483,false false false,false true false,false true false
1664532167-6878502,true,false,true
1635268063-600484,true,false,false
1635268063-586841,false true,false false,false true
1639161154-5540648,true false true,true false false,true false true
1635268063-6019,true true true,false true true,false false false
1635268063-586624,true true true,false false false,true true true
1635268063-599812,true false true,true false true,false false false
1635268063-599226,false,false,false
1635268063-586769,true true true,false false false,true true true
1635268063-584324,true,false,true
1635268063-580609,true false false,false false false,false false false
1664525122-8075762,true,false,false
1639299278-0244179,true false,false false,true false
1635268063-590961,true true,true false,false false
1635268063-586919,false true true,false false false,false true true
1635268063-580459,false,false,false
1635268063-582977,true true true false true true,false false false false false false,false false false false false false
1635268063-604096,true true true,false false false,true true true
1646404151-5873914,true false,false false,true true
1635268063-587599,false true true,false true false,false false false
1663770578-6968083,false true true,false true true,false true true
1635268063-580164,true true true,false false false,true true true
1635268063-589083,true true true,true true true,false false false
1635268063-584542,true false false,false false false,false false false
1635268063-586406,true true true,false false false,true false false
1635268063-587074,false true true,false true true,true true true
