resource,copyright_g,licence_g,terms_g
1639160406-255715,false,false,false
1635268063-588199,false,false,false
1643622487-2183828,true true true,true true true,false false false
1635268063-584985,false true true,false true true,false false false
1639391295-253099,false false true,false false true,false false false
1635268063-591342,true true,false false,true false
1635268063-579488,true true true,false false false,true false false
1635268063-593579,true true true,true true false,true true false
1635268063-589167,true true true,true false false,false false false
1635268063-589753,true false true,false false true,true false true
1635268063-583206,true true false,true true false,true true false
1635268063-600943,true true false,false false false,true true false
1635268063-59862,true true true,true false true,true true true
1635268063-584092,true true true,false false false,true true true
1635268063-59058,true,false,true
1635268063-592834,true true true,false false false,false true true
1635268063-581647,false false false,false false false,false false false
1635268063-590047,true,true,true
1635268063-588935,true true true,true false true,true true true
1635268063-58447,true,false,true
1635268063-579562,false true true,false true true,false false false
1635268063-582248,false,true,false
1635268063-588784,false,false,false
1638798340-997409,true true true,true false true,false false false
1635268063-595327,true false false,true false false,true false false
1635268063-579102,true false true,true false false,true false true
1635268063-599591,true true true,true true true,true true true
1635268063-601393,false true true,false false false,false true false
1635268063-5954,true true true,true false true,true false true
1645712131-57912,true false,true false,false false
1635268063-596594,false false false,false false false,false false false
1639037503-618952,true true true,false false false,true true true
1639161776-8138661,true,false,true
1635268063-59306,true false false,false false false,false false false
1635268063-591191,false true true false false true,false false false false false true,false true true false false true
1635268063-589897,true,false,true
1635268063-592617,true true true,true false true,true true true
1635268063-581866,true true true,true true true,true true true
1639161926-8205845,false,false,false
1635268063-596809,false false false,false false false,false false false
1635268063-60057,true true true,false false false,true true false
1635268063-594871,true true false,true true false,true true false
1635268063-597846,true false false,false false false,false false false
1645534156-1895688,false false false,false false false,false false false
1635268063-579636,true true true,false false false,false false false
1645595496-6777816,true true true,true true true,true true true
1635268063-588274,true true false,false false false,false false false
1638799020-858299,true true true,true true true,false false false
1635268063-583284,false true false,false false false,false false false
1635268063-585877,true,false,true
1638949164-9532564,true true,true true,false false
1638974544-1997092,true,true,true
1635268063-580242,false false true,false false false,false false true
1635268063-581124,false,false,false
1645596007-813033,false,false,false
1635268063-59808,true true true,true true false,false false false
1641116860-6101842,false true false,false false false,false false false
1635268063-594798,true,true,true
1635268063-59428,true,true,false
1635268063-584397,true,true,true
1635268063-600791,true true true,false false false,true false false
1635268063-586103,true,false,false
1645710566-4320617,true false true,false false false,true false true
1645713223-837309,false false true,false false false,false false true
1645711895-1029153,true,true,true
1635268063-579855,true true true,true false true,false false false
1635268063-59012,true true true,false false false,false true true
1641119206-6011822,false,false,false
1635268063-580536,false,false,false
1639036577-4595208,true,false,true
1639039719-2525394,true true true,true false true,false false false
1635268063-583946,false true false,false false false,false false false
1638798822-6517777,true true,false true,true true
1638959734-7802122,false,false,false
1635268063-60305,false false true,false false true,false false true
1635268063-599884,true,true,false
1635268063-586551,true true true,false false false,false true true
1639037748-4481337,true true true,false false false,true true true
1638953483-3177638,false true false,false true false,false false false
1635268063-592462,true false true,false false false,false false true
1635268063-590653,true true false,true true false,false false false
1635268063-590798,true true false,false false false,false false false
1635268063-597933,true,true,true
1635268063-598386,false,false,false
1635268063-586261,true,true,false
1635268063-591035,true true true,false true true,false false false
1635268063-585588,true,true,false
1635268063-594207,true true,false true,false false
1639298151-6594517,true true true,false false false,true true true
1635268063-585508,true,false,false
1645707817-4686248,true,false,false
1635268063-592244,true true true,true false false,true true true
1638798594-7252076,true true true,true false true,true false true
1635268063-599964,true true,false false,true true
1635268063-597105,true true,true true,false false
1635268063-590284,true true true,false false false,true true true
1635268063-58968,false true false,false true false,false false false
1639385146-4206917,false true false,false true false,false true false
1635268063-600716,false,false,false
1635268063-593823,false,false,false
1635268063-587307,true true true,false true false,false true false
1635268063-58811,false,false,false
1635268063-587743,true false true,true false false,true false false
1635268063-580081,true,false,true
1635268063-589009,true true true,false false false,true true true
1635268063-595254,true false true,false false false,false false false
1635268063-597772,false false,false false,false false
1635268063-60109,true true,true true,true true
1635268063-581575,true true false,false true false,false true false
1635268063-581357,true true true,false false false,true false true
1635268063-584757,true,true,false
1635268063-60198,false false true,false false false,false false false
1639500234-4994435,true true false,true false false,true false false
1635268063-586186,true true true,true true false,true true false
1635268063-588347,false,false,false
1664531599-3946595,true true true,true false false,true true true
1635268063-595843,false true false,false true false,false true false
1635268063-598994,true false,false false,true false
1635268063-5993,true,false,true
1635268063-580682,true true false,false false false,false true false
1635268063-602209,true,true,false
1635268063-593748,false true true,false false false,false true true
1635268063-593506,false false,false false,false false
1635268063-595624,true true false,false true false,true true false
1635268063-588564,false false true,false false true,false false false
1645711604-484135,false true,false false,false true
1645706845-306798,true true false,false false false,true true false
1635268063-58566,false true true,false false true,false false false
1645599195-6993346,true,false,true
1635268063-602581,false false false,false false false,false false false
1639036981-673488,false true true,false false false,false false false
1635268063-601828,true true false,true false false,false false false
1645713436-3183298,false,false,false
1641119521-912459,true true true,false false false,true true true
1635268063-597556,true false true,true false false,false false false
1639385765-5944748,false false false,false false false,false false false
1635268063-597411,true,true,true
1641118226-9568648,true true,true true,false false
1635268063-597339,false false false,false false false,false false false
1635268063-58232,false true false,false true true,false true false
1635268063-598463,false true true,false false true,false false false
1635268063-598693,true true true,false false true,false false false
1645551129-2378705,true false false,true false false,false false false
1635268063-593975,false true false false false true,false false false false false false,false true false false false true
1635268063-58842,true true,false false,true false
1645711350-9549549,false false true,false false false,false false true
1635268063-590358,false,false,false
1635268063-597189,false true false,false false false,false false false
1635268063-592167,true false,false false,false false
1635268063-592317,false true true,false false true,false false false
1635268063-57863,true true,true false,false false
1635268063-579263,false,false,false
1635268063-581284,true false true,false false false,false false false
1638956003-2813141,true true true,false true false,false true false
1639495573-5585299,true,false,true
1635268063-590725,false true,false false,false false
1635268063-591422,true true true,true true false,false false false
1635268063-582898,false false false,false false false,false false false
1635268063-596881,false false false,false false false,false false false
1635268063-591785,true false true,false false false,false false false
1635268063-60282,true true,false false,true true
1635268063-600643,false,false,false
1635268063-583722,true false true,true false false,false false false
1635268063-594048,false true true,false true true,false true true
1635268063-599519,false true,false true,false true
1635268063-595096,true false true,true false true,false false true
1645596444-6679177,false true,false false,false true
1639496670-0553632,false,false,false
1635268063-594572,false true true,false false false,false false true
1635268063-600109,false,false,false
1645712351-8043017,true true true,true false true,false false false
1635268063-578714,true false,false false,false false
1635268063-598841,false,false,false
1635268063-585215,true true false,true true false,false false false
1635268063-602451,true false false,false false false,false false false
1635268063-594499,true true,true false,true true
1635268063-595552,true true true,false true true,false true true
1645706564-9274452,true true,false false,true true
1663771058-8047798,true true true,false false false,true true true
1635268063-588638,false true,false false,false false
1635268063-579188,true,true,false
1635268063-601755,false false,false false,false false
1645706080-3971267,false,false,false
1635268063-583122,true true false,true true false,false false false
1635268063-600411,true,false,true
1639384427-9732945,true true true,false true true,false false false
1635268063-59239,true true false,true true false,true true false
1635268063-598767,false true true false,false true true false,false true true false
1635268063-602977,false,false,false
1635268063-594951,false,false,false
1635268063-597483,true false true,false false false,false false true
1635268063-602125,true true false,false true false,false false false
1639467339-727195,true true true,false false false,true true true
1639162424-7193198,false false false,false false false,false false false
1635268063-58305,true,true,true
1635268063-58402,true true true,false true true,false false false
1635268063-599067,true true true,false false false,true true true
1635268063-601017,true false false,true false false,false false false
1639499542-599142,false false true,false false false,false false false
1635268063-595922,true true true,true false false,true false false
1645595889-5140848,true,true,true
1635268063-589389,true true true,false false false,true true true
1635268063-593361,false,false,false
1639496040-2246513,true,false,false
1635268063-597266,true true true,false false false,false false false
1635268063-602893,false,true,true
1635268063-599446,true true true,false false false,false true false
1635268063-603289,true,true,false
1635268063-591713,false,false,false
1635268063-603362,false false true,false false true,false false false
1635268063-593289,true false false,true false false,false false false
1635268063-578868,true false,false false,false false
1635268063-579934,true true true,false false false,false false true
1638797592-5820174,false false true,false false false,false false true
1635268063-596522,false true true,false false false,false true true
